STATE/UT,DISTRICT,Year,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,Total,Latitude,Longitude
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0,454,19.28451395,78.81321233
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0,356,14.31206556,77.46015845
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0,456,13.33109263,78.92763899
ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0,278,14.49028913,78.69613871
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0,475,16.78271832,82.24320747
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0,1,15.1674,77.3736
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0,758,15.88492577,80.58657614
ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0,991,16.63954622,77.98933089
ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0,886,18.51548319,79.43765429
ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0,782,17.68392133,80.67008644
ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0,613,16.14387275,81.14805061
ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0,429,15.43759715,77.90086837
ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0,386,16.63954622,77.98933089
ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0,398,17.88930498,78.13778902
ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0,546,17.11325052,79.16984454
ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0,858,13.89434407,80.14702672
ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0,359,18.42948585,78.07523491
ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0,395,15.489039,80.1166579
