Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
2001,871,55,420,3544,2271,11,7
2002,1002,38,449,3799,2024,13,0
2003,946,51,466,4128,2286,14,5
2004,1016,41,512,3817,2310,4,2
2005,935,39,443,3595,2508,9,3
2006,1049,51,519,4534,2411,14,0
2007,1070,44,613,4406,3316,20,0
2008,1257,47,556,4730,3551,13,0
2009,1188,28,546,5147,3520,13,0
2010,1362,46,588,4634,4562,12,0
2011,1442,60,599,4849,3658,18,0
2012,1341,58,504,4816,3714,26,0
