Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
2001,16075,14645,6851,34124,9746,49170,114,130725
2002,16373,14506,6822,33943,10155,49237,76,131112
2003,15847,13296,6208,32939,12325,50703,46,131364
2004,18233,15578,7026,34567,10001,58121,89,143615
2005,18359,15750,6787,34175,9984,58319,149,143523
2006,19348,17414,7618,36617,9966,63128,67,154158
2007,20737,20416,8093,38734,10950,75930,61,174921
2008,21467,22939,8172,40413,12214,81344,67,186616
2009,21397,25741,8383,38711,11009,89546,48,194835
2010,22172,29795,8391,40613,9961,94041,36,205009
2011,24206,35565,8618,42968,8570,99135,80,219142
2012,24923,38262,8233,45351,9173,106527,59,232528
